stagingArea	sender	vehicleType	c_ijv
a1	s001	v00	227
a1	s001	v20	439
a1	s002	v00	224
a1	s002	v20	433
a1	s003	v00	165
a1	s003	v20	320
a1	s004	v00	220
a1	s004	v20	426
a1	s005	v00	306
a1	s005	v20	591
a1	s006	v00	218
a1	s006	v20	422
a1	s007	v00	282
a1	s007	v20	546
a1	s008	v00	233
a1	s008	v20	451
a1	s010	v00	206
a1	s010	v20	400
a1	s013	v00	302
a1	s013	v20	583
a1	s015	v00	356
a1	s015	v20	689
a1	s018	v00	31
a1	s018	v20	60
a1	s019	v00	297
a1	s019	v20	574
a1	s020	v00	29
a1	s020	v20	57
a1	s021	v00	349
a1	s021	v20	676
a1	s022	v00	16
a1	s022	v20	31
a1	s024	v00	210
a1	s024	v20	406
a1	s025	v00	131
a1	s025	v20	253
a1	s026	v00	20
a1	s026	v20	40
a1	s027	v00	84
a1	s027	v20	164
a1	s029	v00	53
a1	s029	v20	104
a1	s030	v00	21
a1	s030	v20	40
a1	s031	v00	134
a1	s031	v20	259
a1	s032	v00	296
a1	s032	v20	573
a1	s034	v00	295
a1	s034	v20	571
a1	s035	v00	10
a1	s035	v20	20
a1	s036	v00	76
a1	s036	v20	147
a1	s039	v00	544
a1	s039	v20	1052
a1	s040	v00	466
a1	s040	v20	901
a1	s043	v00	112
a1	s043	v20	218
a1	s044	v00	711
a1	s044	v20	1375
a1	s049	v00	694
a1	s049	v20	1342
a1	s051	v00	695
a1	s051	v20	1344
a1	s053	v00	1311
a1	s053	v20	2536
a1	s054	v00	1364
a1	s054	v20	2638
a1	s055	v00	1206
a1	s055	v20	2333
a1	s056	v00	1021
a1	s056	v20	1975
a1	s057	v00	1019
a1	s057	v20	1971
a1	s058	v00	196
a1	s058	v20	380
a1	s059	v00	191
a1	s059	v20	370
a1	s060	v00	214
a1	s060	v20	414
a1	s061	v00	168
a1	s061	v20	326
a1	s062	v00	168
a1	s062	v20	325
a1	s063	v00	338
a1	s063	v20	653
a1	s064	v00	195
a1	s064	v20	378
a1	s065	v00	401
a1	s065	v20	775
a1	s066	v00	216
a1	s066	v20	418
a1	s067	v00	234
a1	s067	v20	452
a1	s068	v00	288
a1	s068	v20	558
a1	s069	v00	352
a1	s069	v20	680
a1	s070	v00	168
a1	s070	v20	325
a1	s071	v00	195
a1	s071	v20	378
a1	s072	v00	176
a1	s072	v20	341
a1	s073	v00	302
a1	s073	v20	585
a1	s074	v00	168
a1	s074	v20	326
a1	s075	v00	182
a1	s075	v20	352
a1	s076	v00	193
a1	s076	v20	373
a1	s077	v00	298
a1	s077	v20	577
a1	s078	v00	195
a1	s078	v20	378
a1	s079	v00	223
a1	s079	v20	432
a1	s080	v00	220
a1	s080	v20	426
a1	s081	v00	168
a1	s081	v20	326
a1	s082	v00	188
a1	s082	v20	363
a1	s083	v00	371
a1	s083	v20	717
a1	s084	v00	168
a1	s084	v20	326
a1	s085	v00	168
a1	s085	v20	325
a1	s086	v00	279
a1	s086	v20	540
a1	s087	v00	377
a1	s087	v20	730
a1	s088	v00	217
a1	s088	v20	420
a1	s089	v00	379
a1	s089	v20	734
a1	s090	v00	215
a1	s090	v20	416
a1	s091	v00	204
a1	s091	v20	395
a1	s092	v00	301
a1	s092	v20	582
a1	s094	v00	134
a1	s094	v20	260
a1	s095	v00	90
a1	s095	v20	174
a1	s096	v00	24
a1	s096	v20	47
a1	s097	v00	73
a1	s097	v20	141
a1	s098	v00	290
a1	s098	v20	562
a1	s099	v00	208
a1	s099	v20	402
a1	s100	v00	169
a1	s100	v20	328
a1	s101	v00	115
a1	s101	v20	222
a1	s102	v00	146
a1	s102	v20	283
a1	s103	v00	116
a1	s103	v20	225
a1	s104	v00	89
a1	s104	v20	172
a1	s105	v00	358
a1	s105	v20	693
a1	s106	v00	188
a1	s106	v20	363
a1	s108	v00	84
a1	s108	v20	163
a1	s109	v00	349
a1	s109	v20	676
a1	s110	v00	57
a1	s110	v20	111
a1	s111	v00	118
a1	s111	v20	228
a1	s112	v00	434
a1	s112	v20	839
a1	s114	v00	101
a1	s114	v20	195
a1	s117	v00	61
a1	s117	v20	119
a1	s118	v00	19
a1	s118	v20	36
a1	s119	v00	169
a1	s119	v20	327
a1	s120	v00	31
a1	s120	v20	61
a1	s121	v00	18
a1	s121	v20	35
a1	s122	v00	346
a1	s122	v20	670
a1	s123	v00	116
a1	s123	v20	225
a1	s124	v00	12
a1	s124	v20	23
a1	s127	v00	204
a1	s127	v20	395
a1	s130	v00	330
a1	s130	v20	638
a1	s131	v00	80
a1	s131	v20	156
a1	s132	v00	107
a1	s132	v20	208
a1	s133	v00	111
a1	s133	v20	216
a1	s134	v00	357
a1	s134	v20	691
a1	s135	v00	233
a1	s135	v20	451
a1	s138	v00	298
a1	s138	v20	576
a1	s139	v00	231
a1	s139	v20	448
a1	s141	v00	185
a1	s141	v20	358
a1	s142	v00	81
a1	s142	v20	157
a1	s144	v00	12
a1	s144	v20	25
a1	s145	v00	192
a1	s145	v20	371
a1	s147	v00	155
a1	s147	v20	301
a1	s149	v00	183
a1	s149	v20	355
a1	s150	v00	122
a1	s150	v20	235
a1	s153	v00	77
a1	s153	v20	149
a1	s154	v00	169
a1	s154	v20	327
a1	s155	v00	167
a1	s155	v20	323
a1	s156	v00	356
a1	s156	v20	689
a1	s157	v00	165
a1	s157	v20	320
a1	s158	v00	30
a1	s158	v20	59
a1	s159	v00	114
a1	s159	v20	222
a1	s160	v00	199
a1	s160	v20	385
a1	s161	v00	345
