sender	patientType	scenario	demand
s001	c	n04	0
s001	n	n04	4
s001	c	n05	0
s001	n	n05	4
s001	c	n06	0
s001	n	n06	4
s001	c	n07	0
s001	n	n07	4
s001	c	n08	0
s001	n	n08	4
s001	c	n09	0
s001	n	n09	4
s001	c	n10	0
s001	n	n10	4
s001	c	n11	0
s001	n	n11	4
s001	c	n12	0
s001	n	n12	4
s001	c	n13	0
s001	n	n13	4
s001	c	n14	0
s001	n	n14	4
s001	c	n15	0
s001	n	n15	4
s001	c	n16	0
s001	n	n16	4
s002	c	n12	10
s002	n	n12	60
s003	c	n11	6
s003	n	n11	39
s003	c	n12	6
s003	n	n12	39
s003	c	n13	6
s003	n	n13	39
s003	c	n14	6
s003	n	n14	39
s003	c	n15	6
s003	n	n15	39
s004	c	n06	0
s004	n	n06	4
s004	c	n07	0
s004	n	n07	4
s004	c	n08	0
s004	n	n08	4
s004	c	n09	0
s004	n	n09	4
s004	c	n10	0
s004	n	n10	4
s004	c	n11	0
s004	n	n11	4
s004	c	n12	0
s004	n	n12	4
s004	c	n13	0
s004	n	n13	4
s004	c	n14	0
s004	n	n14	4
s004	c	n15	0
s004	n	n15	4
s004	c	n16	0
s004	n	n16	4
s005	c	n08	5
s005	n	n08	32
s005	c	n09	5
s005	n	n09	32
s005	c	n10	5
s005	n	n10	32
s005	c	n11	5
s005	n	n11	32
s005	c	n12	5
s005	n	n12	32
s005	c	n13	5
s005	n	n13	32
s005	c	n14	5
s005	n	n14	32
s006	c	n04	5
s006	n	n04	28
s006	c	n05	5
s006	n	n05	28
s006	c	n06	5
s006	n	n06	28
s006	c	n07	5
s006	n	n07	28
s006	c	n08	5
s006	n	n08	28
s006	c	n09	5
s006	n	n09	28
s006	c	n10	5
s006	n	n10	28
s006	c	n11	5
s006	n	n11	28
s006	c	n12	5
s006	n	n12	28
s006	c	n13	5
s006	n	n13	28
s006	c	n14	5
s006	n	n14	28
s006	c	n15	5
s006	n	n15	28
s006	c	n16	5
s006	n	n16	28
s006	c	n17	5
s006	n	n17	28
s006	c	n18	5
s006	n	n18	28
s006	c	n19	5
s006	n	n19	28
s006	c	n20	5
s006	n	n20	28
s006	c	n21	5
s006	n	n21	28
s007	c	n11	14
s007	n	n11	84
s007	c	n12	14
s007	n	n12	84
s007	c	n13	14
s007	n	n13	84
s008	c	n11	3
s008	n	n11	23
s008	c	n12	3
s008	n	n12	23
s010	c	n08	36
s010	n	n08	199
s010	c	n09	36
s010	n	n09	199
s010	c	n10	36
s010	n	n10	199
s010	c	n11	36
s010	n	n11	199
s010	c	n12	36
s010	n	n12	199
s010	c	n13	36
s010	n	n13	199
s010	c	n14	36
s010	n	n14	199
s010	c	n15	36
s010	n	n15	199
s013	c	n08	1
s013	n	n08	12
s013	c	n09	1
s013	n	n09	12
s013	c	n10	1
s013	n	n10	12
s013	c	n11	1
s013	n	n11	12
s013	c	n12	1
s013	n	n12	12
s013	c	n13	1
s013	n	n13	12
s013	c	n14	1
s013	n	n14	12
s013	c	n15	1
s013	n	n15	12
s015	c	n08	5
s015	n	n08	28
s015	c	n09	5
s015	n	n09	28
s015	c	n10	5
s015	n	n10	28
s015	c	n11	5
s015	n	n11	28
s015	c	n12	5
s015	n	n12	28
s015	c	n13	5
s015	n	n13	28
s015	c	n14	5
s015	n	n14	28
s015	c	n15	5
s015	n	n15	28
s015	c	n16	5
s015	n	n16	28
s015	c	n17	5
s015	n	n17	28
s015	c	n18	5
s015	n	n18	28
s015	c	n19	5
s015	n	n19	28
s015	c	n20	5
s015	n	n20	28
s015	c	n21	5
s015	n	n21	28
s015	c	n22	5
s015	n	n22	28
s015	c	n23	5
s015	n	n23	28
s015	c	n24	5
s015	n	n24	28
s015	c	n25	5
s015	n	n25	28
s018	c	n06	11
s018	n	n06	66
s018	c	n07	11
s018	n	n07	66
s018	c	n08	11
s018	n	n08	66
s018	c	n09	11
s018	n	n09	66
s018	c	n10	11
s018	n	n10	66
s018	c	n11	11
s018	n	n11	66
s018	c	n12	11
s018	n	n12	66
s018	c	n13	11
s018	n	n13	66
s018	c	n14	11
s018	n	n14	66
s018	c	n15	11
s018	n	n15	66
s019	c	n11	7
s019	n	n11	42
s019	c	n12	7
s019	n	n12	42
s019	c	n13	7
s019	n	n13	42
s020	c	n06	13
s020	n	n06	76
s020	c	n07	13
s020	n	n07	76
s020	c	n08	13
s020	n	n08	76
s020	c	n09	13
s020	n	n09	76
s020	c	n10	13
s020	n	n10	76
s020	c	n11	13
s020	n	n11	76
s020	c	n12	13
s020	n	n12	76
s020	c	n13	13
s020	n	n13	76
s020	c	n14	13
s020	n	n14	76
s020	c	n15	13
s020	n	n15	76
s020	c	n16	13
s020	n	n16	76
s021	c	n16	5
s021	n	n16	34
s021	c	n17	5
s021	n	n17	34
s021	c	n18	5
s021	n	n18	34
s022	c	n06	4
s022	n	n06	28
s022	c	n07	4
s022	n	n07	28
s022	c	n08	4
s022	n	n08	28
s022	c	n09	4
s022	n	n09	28
s022	c	n10	4
s022	n	n10	28
s022	c	n11	4
s022	n	n11	28
s022	c	n12	4
s022	n	n12	28
s022	c	n13	4
s022	n	n13	28
s022	c	n14	4
s022	n	n14	28
s022	c	n15	4
s022	n	n15	28
s022	c	n16	4
s022	n	n16	28
s024	c	n04	0
s024	n	n04	2
s024	c	n05	0
s024	n	n05	2
s024	c	n06	0
s024	n	n06	2
s024	c	n07	0
s024	n	n07	2
s024	c	n08	0
s024	n	n08	2
s024	c	n09	0
s024	n	n09	2
s024	c	n10	0
s024	n	n10	2
s024	c	n11	0
s024	n	n11	2
s024	c	n12	0
s024	n	n12	2
s024	c	n13	0
s024	n	n13	2
s024	c	n14	0
s024	n	n14	2
s024	c	n15	0
s024	n	n15	2
s024	c	n16	0
s024	n	n16	2
s024	c	n17	0
s024	n	n17	2
s024	c	n18	0
s024	n	n18	2
s024	c	n19	0
s024	n	n19	2
s024	c	n20	0
s024	n	n20	2
s024	c	n21	0
s024	n	n21	2
s024	c	n25	0
s024	n	n25	2
s025	c	n08	6
s025	n	n08	39
s025	c	n09	6
s025	n	n09	39
s025	c	n10	6
s025	n	n10	39
s025	c	n11	6
s025	n	n11	39
s025	c	n12	6
s025	n	n12	39
s025	c	n13	6
s025	n	n13	39
s025	c	n14	6
s025	n	n14	39
s025	c	n15	6
s025	n	n15	39
s025	c	n16	6
s025	n	n16	39
s026	c	n08	3
s026	n	n08	23
s026	c	n09	3
s026	n	n09	23
s026	c	n10	3
s026	n	n10	23
s026	c	n11	3
s026	n	n11	23
s026	c	n12	3
s026	n	n12	23
s026	c	n13	3
s026	n	n13	23
s026	c	n14	3
s026	n	n14	23
s026	c	n15	3
s026	n	n15	23
s027	c	n04	5
s027	n	n04	34
s027	c	n05	5
s027	n	n05	34
s027	c	n06	5
s027	n	n06	34
s027	c	n07	5
s027	n	n07	34
s027	c	n08	5
s027	n	n08	34
s027	c	n09	5
s027	n	n09	34
s027	c	n10	5
s027	n	n10	34
s027	c	n11	5
s027	n	n11	34
s027	c	n12	5
s027	n	n12	34
s027	c	n13	5
s027	n	n13	34
s027	c	n14	5
s027	n	n14	34
s027	c	n15	5
s027	n	n15	34
s027	c	n16	5
s027	n	n16	34
s029	c	n11	1
s029	n	n11	10
s029	c	n12	1
s029	n	n12	10
s029	c	n13	1
s029	n	n13	10
s029	c	n14	1
s029	n	n14	10
s029	c	n15	1
s029	n	n15	10
s030	c	n06	2
s030	n	n06	17
s030	c	n07	2
s030	n	n07	17
s030	c	n08	2
s030	n	n08	17
s030	c	n09	2
s030	n	n09	17
s030	c	n10	2
s030	n	n10	17
s030	c	n11	2
s030	n	n11	17
s030	c	n12	2
s030	n	n12	17
s030	c	n13	2
s030	n	n13	17
s030	c	n14	2
s030	n	n14	17
s030	c	n15	2
s030	n	n15	17
s030	c	n16	2
s030	n	n16	17
s031	c	n13	0
s031	n	n13	6
s032	c	n08	54
s032	n	n08	303
s032	c	n09	54
s032	n	n09	303
s032	c	n10	54
s032	n	n10	303
s032	c	n11	54
s032	n	n11	303
s032	c	n12	54
s032	n	n12	303
s032	c	n13	54
s032	n	n13	303
s032	c	n14	54
s032	n	n14	303
s032	c	n15	54
s032	n	n15	303
s034	c	n09	11
s034	n	n09	63
s034	c	n10	11
s034	n	n10	63
s034	c	n11	11
s034	n	n11	63
s034	c	n12	11
s034	n	n12	63
s034	c	n13	11
s034	n	n13	63
s034	c	n14	11
s034	n	n14	63
s035	c	n08	14
s035	n	n08	85
s035	c	n09	14
s035	n	n09	85
s035	c	n10	14
s035	n	n10	85
s035	c	n11	14
s035	n	n11	85
s035	c	n12	14
s035	n	n12	85
s035	c	n13	14
s035	n	n13	85
s035	c	n14	14
s035	n	n14	85
s035	c	n15	14
s035	n	n15	85
s036	c	n06	2
s036	n	n06	17
s036	c	n07	2
s036	n	n07	17
s036	c	n08	2
s036	n	n08	17
s036	c	n09	2
s036	n	n09	17
s036	c	n10	2
s036	n	n10	17
s036	c	n11	2
s036	n	n11	17
s036	c	n12	2
s036	n	n12	17
s036	c	n13	2
s036	n	n13	17
s036	c	n14	2
s036	n	n14	17
s036	c	n15	2
s036	n	n15	17
s036	c	n16	2
s036	n	n16	17
s036	c	n17	2
s036	n	n17	17
s036	c	n18	2
s036	n	n18	17
s036	c	n19	2
s036	n	n19	17
s036	c	n20	2
s036	n	n20	17
s036	c	n21	2
s036	n	n21	17
s039	c	n08	14
s039	n	n08	79
s039	c	n09	14
s039	n	n09	79
s039	c	n10	14
s039	n	n10	79
s039	c	n11	14
s039	n	n11	79
s039	c	n12	14
s039	n	n12	79
s039	c	n13	14
s039	n	n13	79
s039	c	n14	14
s039	n	n14	79
s039	c	n15	14
s039	n	n15	79
s039	c	n16	14
s039	n	n16	79
s039	c	n17	14
s039	n	n17	79
s039	c	n18	14
s039	n	n18	79
s039	c	n19	14
s039	n	n19	79
s039	c	n20	14
s039	n	n20	79
s039	c	n21	14
s039	n	n21	79
s039	c	n22	14
s039	n	n22	79
s039	c	n23	14
s039	n	n23	79
s039	c	n24	14
s039	n	n24	79
s039	c	n25	14
s039	n	n25	79
s040	c	n15	0
s040	n	n15	4
s040	c	n16	0
s040	n	n16	4
s040	c	n17	0
s040	n	n17	4
s040	c	n18	0
s040	n	n18	4
s040	c	n22	0
s040	n	n22	4
s040	c	n23	0
s040	n	n23	4
s040	c	n24	0
s040	n	n24	4
s043	c	n06	3
s043	n	n06	19
s043	c	n07	3
s043	n	n07	19
s043	c	n08	3
s043	n	n08	19
s043	c	n09	3
s043	n	n09	19
s043	c	n10	3
s043	n	n10	19
s043	c	n11	3
s043	n	n11	19
s043	c	n12	3
s043	n	n12	19
s043	c	n13	3
s043	n	n13	19
s043	c	n14	3
s043	n	n14	19
s043	c	n15	3
s043	n	n15	19
s043	c	n16	3
s043	n	n16	19
s043	c	n17	3
s043	n	n17	19
s043	c	n18	3
s043	n	n18	19
s044	c	n24	1
s044	n	n24	11
s049	c	n01	38
s049	n	n01	211
s049	c	n02	38
s049	n	n02	211
s049	c	n03	38
s049	n	n03	211
s049	c	n04	38
s049	n	n04	211
s049	c	n05	38
s049	n	n05	211
s049	c	n06	38
s049	n	n06	211
s049	c	n07	38
s049	n	n07	211
s049	c	n08	38
s049	n	n08	211
s049	c	n09	38
s049	n	n09	211
s049	c	n10	38
s049	n	n10	211
s049	c	n11	38
s049	n	n11	211
s049	c	n12	38
s049	n	n12	211
s049	c	n13	38
s049	n	n13	211
s049	c	n14	38
s049	n	n14	211
s049	c	n15	38
s049	n	n15	211
s049	c	n16	38
s049	n	n16	211
s049	c	n17	38
s049	n	n17	211
s049	c	n18	38
s049	n	n18	211
s049	c	n19	38
s049	n	n19	211
s049	c	n20	38
s049	n	n20	211
s049	c	n21	38
s049	n	n21	211
s049	c	n22	38
s049	n	n22	211
s049	c	n23	38
s049	n	n23	211
s049	c	n24	38
s049	n	n24	211
s049	c	n25	38
s049	n	n25	211
s051	c	n11	2
s051	n	n11	17
s051	c	n12	2
s051	n	n12	17
s051	c	n13	2
s051	n	n13	17
s051	c	n14	2
s051	n	n14	17
s051	c	n15	2
s051	n	n15	17
s051	c	n16	2
s051	n	n16	17
s051	c	n17	2
s051	n	n17	17
s051	c	n18	2
s051	n	n18	17
s051	c	n19	2
s051	n	n19	17
s051	c	n20	2
s051	n	n20	17
s053	c	n01	22
s053	n	n01	128
s053	c	n02	22
s053	n	n02	128
s053	c	n03	22
s053	n	n03	128
s053	c	n04	22
s053	n	n04	128
s053	c	n05	22
s053	n	n05	128
s053	c	n06	22
s053	n	n06	128
s053	c	n07	22
s053	n	n07	128
s053	c	n08	22
s053	n	n08	128
s053	c	n09	22
s053	n	n09	128
s053	c	n10	22
s053	n	n10	128
s053	c	n11	22
s053	n	n11	128
s053	c	n12	22
s053	n	n12	128
s053	c	n13	22
s053	n	n13	128
s053	c	n14	22
s053	n	n14	128
s053	c	n15	22
s053	n	n15	128
s053	c	n16	22
s053	n	n16	128
s053	c	n17	22
s053	n	n17	128
s053	c	n18	22
s053	n	n18	128
s053	c	n19	22
s053	n	n19	128
s053	c	n20	22
s053	n	n20	128
s053	c	n21	22
s053	n	n21	128
s053	c	n22	22
s053	n	n22	128
s053	c	n23	22
s053	n	n23	128
s053	c	n24	22
s053	n	n24	128
s053	c	n25	22
s053	n	n25	128
s054	c	n01	23
s054	n	n01	129
s054	c	n02	23
s054	n	n02	129
s054	c	n03	23
s054	n	n03	129
s054	c	n04	23
s054	n	n04	129
s054	c	n05	23
s054	n	n05	129
s054	c	n06	23
s054	n	n06	129
s054	c	n07	23
s054	n	n07	129
s054	c	n08	23
s054	n	n08	129
s054	c	n09	23
s054	n	n09	129
s054	c	n10	23
s054	n	n10	129
s054	c	n11	23
s054	n	n11	129
s054	c	n12	23
s054	n	n12	129
s054	c	n13	23
s054	n	n13	129
s054	c	n14	23
s054	n	n14	129
s054	c	n15	23
s054	n	n15	129
s054	c	n16	23
s054	n	n16	129
s054	c	n17	23
s054	n	n17	129
s054	c	n18	23
s054	n	n18	129
s054	c	n19	23
s054	n	n19	129
s054	c	n20	23
s054	n	n20	129
s054	c	n21	23
s054	n	n21	129
s054	c	n22	23
s054	n	n22	129
s054	c	n23	23
s054	n	n23	129
s054	c	n24	23
s054	n	n24	129
s054	c	n25	23
s054	n	n25	129
s055	c	n02	1
s055	n	n02	10
s055	c	n03	1
s055	n	n03	10
s055	c	n16	1
s055	n	n16	10
s055	c	n17	1
s055	n	n17	10
s055	c	n18	1
s055	n	n18	10
s055	c	n24	1
s055	n	n24	10
s056	c	n17	0
s056	n	n17	93
s056	c	n18	0
s056	n	n18	93
s056	c	n19	0
s056	n	n19	93
s056	c	n20	0
s056	n	n20	93
s056	c	n21	0
s056	n	n21	93
s056	c	n22	0
s056	n	n22	93
s056	c	n23	0
s056	n	n23	93
s056	c	n24	0
s056	n	n24	93
s057	c	n22	0
s057	n	n22	27
s057	c	n23	0
s057	n	n23	27
s057	c	n24	0
s057	n	n24	27
s058	c	n14	0
s058	n	n14	13
s059	c	n14	0
s059	n	n14	85
s059	c	n15	0
s059	n	n15	85
s060	c	n11	0
s060	n	n11	6
s060	c	n12	0
s060	n	n12	6
s060	c	n13	0
s060	n	n13	6
s060	c	n14	0
s060	n	n14	6
s060	c	n15	0
s060	n	n15	6
s060	c	n16	0
s060	n	n16	6
s061	c	n08	0
s061	n	n08	6
s061	c	n09	0
s061	n	n09	6
s061	c	n10	0
s061	n	n10	6
s061	c	n11	0
s061	n	n11	6
s061	c	n12	0
s061	n	n12	6
s061	c	n13	0
s061	n	n13	6
s061	c	n14	0
s061	n	n14	6
s061	c	n15	0
s061	n	n15	6
s062	c	n11	0
s062	n	n11	8
s062	c	n12	0
s062	n	n12	8
s062	c	n13	0
s062	n	n13	8
s062	c	n14	0
s062	n	n14	8
s062	c	n15	0
s062	n	n15	8
s063	c	n16	0
s063	n	n16	62
s063	c	n17	0
s063	n	n17	62
s063	c	n18	0
s063	n	n18	62
s063	c	n19	0
s063	n	n19	62
s063	c	n20	0
s063	n	n20	62
s063	c	n21	0
s063	n	n21	62
s063	c	n22	0
s063	n	n22	62
s063	c	n23	0
s063	n	n23	62
s063	c	n24	0
s063	n	n24	62
s063	c	n25	0
s063	n	n25	62
s064	c	n06	0
s064	n	n06	9
s064	c	n07	0
s064	n	n07	9
s064	c	n08	0
s064	n	n08	9
s064	c	n09	0
s064	n	n09	9
s064	c	n10	0
s064	n	n10	9
s064	c	n11	0
s064	n	n11	9
s064	c	n12	0
s064	n	n12	9
s064	c	n13	0
s064	n	n13	9
s064	c	n14	0
s064	n	n14	9
s064	c	n15	0
s064	n	n15	9
s064	c	n16	0
s064	n	n16	9
s065	c	n06	0
s065	n	n06	38
s065	c	n07	0
s065	n	n07	38
s065	c	n08	0
s065	n	n08	38
s065	c	n09	0
s065	n	n09	38
s065	c	n10	0
s065	n	n10	38
s065	c	n11	0
s065	n	n11	38
s065	c	n12	0
s065	n	n12	38
s065	c	n13	0
s065	n	n13	38
s065	c	n14	0
s065	n	n14	38
s065	c	n15	0
s065	n	n15	38
s065	c	n16	0
s065	n	n16	38
s065	c	n19	0
s065	n	n19	38
s065	c	n20	0
s065	n	n20	38
s065	c	n24	0
s065	n	n24	38
s066	c	n04	0
s066	n	n04	102
s066	c	n05	0
s066	n	n05	102
s066	c	n06	0
s066	n	n06	102
