receiver	patientType	receiverCapacity
r001	c	2
r001	n	9
r002	c	3
r002	n	11
r003	c	2
r003	n	7
r004	c	3
r004	n	11
r005	c	10
r005	n	46
r006	c	1
r006	n	2
r007	c	6
r007	n	27
r008	c	18
r008	n	86
r009	c	4
r009	n	20
r010	c	4
r010	n	18
r011	c	49
r011	n	233
r012	c	14
r012	n	69
r013	c	12
r013	n	56
r014	c	20
r014	n	97
r015	c	11
r015	n	53
r016	c	63
r016	n	304
r017	c	18
r017	n	85
r018	c	13
r018	n	60
r019	c	3
r019	n	14
r020	c	5
r020	n	23
r021	c	4
r021	n	18
r022	c	3
r022	n	12
r023	c	5
r023	n	25
r024	c	35
r024	n	170
r025	c	61
r025	n	291
r026	c	8
r026	n	38
r027	c	35
r027	n	168
r028	c	26
r028	n	124
r029	c	23
r029	n	107
r030	c	6
r030	n	29
r031	c	0
r031	n	2
r032	c	1
r032	n	5
r033	c	31
r033	n	148
r034	c	1
r034	n	4
r035	c	2
r035	n	7
r036	c	4
r036	n	21
r037	c	4
r037	n	18
r038	c	5
r038	n	24
r039	c	2
r039	n	7
r040	c	4
r040	n	17
r041	c	3
r041	n	11
r042	c	4
r042	n	17
r043	c	3
r043	n	13
r044	c	1
r044	n	3
r045	c	7
r045	n	34
r046	c	2
r046	n	10
r047	c	2
r047	n	10
r048	c	17
r048	n	82
r049	c	24
r049	n	115
r050	c	25
r050	n	120
r051	c	6
r051	n	29
r052	c	1
r052	n	3
r053	c	1
r053	n	4
r054	c	0
r054	n	2
r055	c	6
r055	n	28
r056	c	7
r056	n	32
r057	c	5
r057	n	21
r058	c	1
r058	n	5
r059	c	6
r059	n	26
r060	c	1
r060	n	5
r061	c	42
r061	n	200
r062	c	24
r062	n	116
r063	c	15
r063	n	71
r064	c	10
r064	n	49
r065	c	20
r065	n	95
r066	c	3
r066	n	13
r067	c	21
r067	n	101
r068	c	9
r068	n	39
r069	c	5
r069	n	25
r070	c	2
r070	n	7
r071	c	7
r071	n	33
r072	c	3
r072	n	14
r073	c	1
r073	n	2
r074	c	0
r074	n	2
r075	c	20
r075	n	95
r076	c	18
r076	n	87
r077	c	2
r077	n	6
r078	c	6
r078	n	27
r079	c	4
r079	n	17
r080	c	2
r080	n	9
r081	c	13
r081	n	62
r082	c	2
r082	n	9
r083	c	3
r083	n	15
r084	c	4
r084	n	17
r085	c	3
r085	n	12
r086	c	5
r086	n	23
r087	c	7
r087	n	34
r088	c	9
r088	n	44
r089	c	3
r089	n	14
r090	c	4
r090	n	16
r091	c	24
r091	n	117
r092	c	3
r092	n	14
r093	c	0
r093	n	2
r094	c	2
r094	n	8
r095	c	3
r095	n	14
r096	c	21
r096	n	98
r097	c	7
r097	n	33
r098	c	1
r098	n	6
r099	c	0
r099	n	1
r100	c	4
r100	n	17
r101	c	2
r101	n	7
r102	c	0
r102	n	2
r103	c	6
r103	n	29
r104	c	3
r104	n	11
r105	c	9
r105	n	41
r106	c	2
r106	n	7
r107	c	2
r107	n	8
r108	c	16
r108	n	73
r109	c	9
r109	n	42
r110	c	12
r110	n	59
r111	c	2
r111	n	6
r112	c	4
r112	n	18
r113	c	2
r113	n	7
r114	c	1
r114	n	6
r115	c	3
r115	n	14
r116	c	0
r116	n	32
r117	c	0
r117	n	5
r118	c	0
r118	n	4
r119	c	0
r119	n	29
r120	c	0
r120	n	28
r121	c	0
r121	n	6
r122	c	0
r122	n	6
r123	c	0
r123	n	34
r124	c	0
r124	n	31
r125	c	0
r125	n	26
r126	c	0
r126	n	6
r127	c	0
r127	n	3
r128	c	0
r128	n	40
r129	c	0
r129	n	2
r130	c	0
r130	n	4
r131	c	0
r131	n	40
r132	c	0
r132	n	4
r133	c	0
r133	n	17
r134	c	0
r134	n	6
r135	c	0
r135	n	4
r136	c	0
r136	n	6
r137	c	0
r137	n	3
r138	c	0
r138	n	3
r139	c	0
r139	n	34
r140	c	0
r140	n	46
r141	c	0
r141	n	2
r142	c	0
r142	n	3
r143	c	0
r143	n	12
r144	c	0
r144	n	4
r145	c	0
r145	n	2
r146	c	0
r146	n	2
r147	c	0
r147	n	25
r148	c	0
r148	n	16
r149	c	0
r149	n	79
r150	c	0
r150	n	2
r151	c	0
r151	n	6
r152	c	0
r152	n	21
r153	c	0
r153	n	20
r154	c	0
r154	n	38
r155	c	0
r155	n	4
