,staging,sender,receiver,staging1,vehicleType,patientType,scenario,value
0,a1,s049,r016,a1,v00,c,n01,38
1,a1,s049,r016,a1,v20,n,n01,10
2,a1,s049,r016,a1,v00,n,n01,11
3,a1,s054,r025,a1,v00,c,n01,23
4,a1,s054,r025,a1,v20,n,n01,6
5,a1,s054,r025,a1,v00,n,n01,9
6,a1,s053,r011,a1,v00,c,n01,22
7,a1,s053,r011,a1,v00,n,n01,128
8,a1,s308,r277,a1,v00,n,n01,98
9,a1,s308,r149,a1,v00,n,n01,29
10,a1,s278,r236,a1,v00,n,n01,64
11,a1,s278,r195,a1,v00,n,n01,38
12,a1,s307,r506,a1,v00,n,n01,69
13,a1,s307,r502,a1,v00,n,n01,33
14,a1,s306,r230,a1,v00,n,n01,65
15,a1,s306,r436,a1,v00,n,n01,16
16,a1,s098,r203,a1,v00,n,n01,60
17,a1,s098,r309,a1,v00,n,n01,16
18,a1,s311,r360,a1,v00,n,n01,65
19,a1,s311,r300,a1,v00,n,n01,9
20,a1,s077,r174,a1,v00,n,n01,58
21,a1,s077,r149,a1,v00,n,n01,15
22,a1,s293,r272,a1,v00,n,n01,10
23,a1,s089,r249,a1,v00,n,n01,8
24,a1,s187,r177,a1,v00,n,n01,8
25,a1,s221,r190,a1,v00,n,n01,8
26,a1,s119,r300,a1,v00,n,n01,5
27,a1,s149,r272,a1,v00,n,n01,5
28,a1,s225,r228,a1,v00,n,n01,5
29,a1,s312,r499,a1,v00,n,n01,4
30,a1,s049,r016,a1,v00,c,n02,38
31,a1,s049,r016,a1,v20,n,n02,10
32,a1,s049,r016,a1,v00,n,n02,11
33,a1,s054,r025,a1,v00,c,n02,23
34,a1,s054,r025,a1,v20,n,n02,6
35,a1,s054,r025,a1,v00,n,n02,9
36,a1,s053,r011,a1,v00,c,n02,22
37,a1,s053,r011,a1,v00,n,n02,128
38,a1,s308,r277,a1,v00,n,n02,98
39,a1,s308,r149,a1,v00,n,n02,29
40,a1,s278,r236,a1,v00,n,n02,64
41,a1,s278,r195,a1,v00,n,n02,38
42,a1,s307,r506,a1,v00,n,n02,69
43,a1,s307,r502,a1,v00,n,n02,33
44,a1,s306,r230,a1,v00,n,n02,65
45,a1,s306,r436,a1,v00,n,n02,16
46,a1,s256,r174,a1,v00,n,n02,58
47,a1,s256,r203,a1,v00,n,n02,22
48,a1,s098,r309,a1,v00,n,n02,53
49,a1,s098,r300,a1,v00,n,n02,23
50,a1,s311,r360,a1,v00,n,n02,65
51,a1,s311,r272,a1,v00,n,n02,9
52,a1,s077,r149,a1,v00,n,n02,50
53,a1,s077,r249,a1,v00,n,n02,23
54,a1,s310,r177,a1,v00,n,n02,52
