variable,staging,sender,vehicle,patient,scenario,value
x_ij,a1,s001,v00,n,n04,4.0
x_ij,a1,s001,v00,n,n05,4.0
x_ij,a1,s001,v00,n,n06,4.0
x_ij,a1,s001,v00,n,n07,4.0
x_ij,a1,s001,v00,n,n08,4.0
x_ij,a1,s001,v00,n,n09,4.0
x_ij,a1,s001,v00,n,n10,4.0
x_ij,a1,s001,v00,n,n11,4.0
x_ij,a1,s001,v00,n,n12,4.0
x_ij,a1,s001,v00,n,n13,4.0
x_ij,a1,s001,v00,n,n14,4.0
x_ij,a1,s001,v00,n,n15,4.0
x_ij,a1,s001,v00,n,n16,4.0
x_ij,a1,s002,v00,c,n12,10.0
x_ij,a1,s002,v00,n,n12,60.0
x_ij,a1,s003,v00,c,n11,6.0
x_ij,a1,s003,v00,c,n12,6.0
x_ij,a1,s003,v00,c,n13,6.0
x_ij,a1,s003,v00,c,n14,6.0
x_ij,a1,s003,v00,c,n15,6.0
x_ij,a1,s003,v00,n,n11,39.0
x_ij,a1,s003,v00,n,n12,39.0
x_ij,a1,s003,v00,n,n13,39.0
x_ij,a1,s003,v00,n,n14,39.0
x_ij,a1,s003,v00,n,n15,39.0
x_ij,a1,s004,v00,n,n06,4.0
x_ij,a1,s004,v00,n,n07,4.0
x_ij,a1,s004,v00,n,n08,4.0
x_ij,a1,s004,v00,n,n09,4.0
x_ij,a1,s004,v00,n,n10,4.0
x_ij,a1,s004,v00,n,n11,4.0
x_ij,a1,s004,v00,n,n12,4.0
x_ij,a1,s004,v00,n,n13,4.0
x_ij,a1,s004,v00,n,n14,4.0
x_ij,a1,s004,v00,n,n15,4.0
x_ij,a1,s004,v00,n,n16,4.0
x_ij,a1,s005,v00,c,n08,5.0
x_ij,a1,s005,v00,c,n09,5.0
x_ij,a1,s005,v00,c,n10,5.0
x_ij,a1,s005,v00,c,n11,5.0
x_ij,a1,s005,v00,c,n12,5.0
x_ij,a1,s005,v00,c,n13,5.0
x_ij,a1,s005,v00,c,n14,5.0
x_ij,a1,s005,v00,n,n08,32.0
x_ij,a1,s005,v00,n,n09,32.0
x_ij,a1,s005,v00,n,n10,32.0
x_ij,a1,s005,v00,n,n11,32.0
